Date,DailyRainfallTotal,Highest30MinRainfall,Highest60MinRainfall,Highest120MinRainfall,MeanTemperature,MaximumTemperature,MinimumTemperature,MeanWindSpeed,MaxWindSpeed
2019-03-16,0.0,0.0,0.0,0.0,29.1,32.5,26.2,17.6,50.0
2019-03-17,0.0,0.0,0.0,0.0,29,26.6,18.0,43.2,
2019-03-18,0.0,0.0,0.0,0.0,29,26.3,17.3,40.3,
2019-03-19,0.0,0.0,0.0,0.0,29.1,32.7,26.6,15.5,42.5
2019-03-20,0.0,0.0,0.0,0.0,29.4,32.3,27.5,16.9,43.2
2019-03-21,37.2,16.0,26.0,36.4,28.1,33.0,24.9,16.2,44.6
2019-03-22,0.2,0.2,0.2,0.2,27.8,30.1,25.2,12.2,39.6
2019-03-23,0.2,0.2,0.2,0.2,28.6,30.0,27.1,15.8,37.4
2019-03-24,0.0,0.0,0.0,0.0,28.5,30.6,27.2,15.5,37.1
2019-03-25,2.2,2.2,2.2,2.2,28.4,30.8,26.7,15.1,45.0
2019-03-26,0.2,0.2,0.2,0.2,29.2,31.9,26.8,16.2,39.2
2019-03-27,0.0,0.0,0.0,0.0,29.7,32.8,27.6,17.6,43.2
2019-03-28,6.6,5.2,5.8,6.6,27.9,24.1,15.8,41.8,
2019-03-29,0.0,0.0,0.0,0.0,28.5,30.5,26.1,14.0,38.9
2019-03-30,1.0,1.0,1.0,1.0,27.4,29.2,25.2,10.1,34.2
2019-03-31,0.2,0.2,0.2,0.2,28.3,29.7,27.0,11.2,31.3
2019-04-01,36.4,12.0,20.4,25.2,26.6,28.6,24.9,11.5,36.4
2019-04-02,0.0,0.0,0.0,0.0,27.6,29.6,25.5,13.0,38.5
2019-04-03,43.2,21.4,25.2,38.6,28.0,31.0,25.4,14.4,50.8
2019-04-04,0.0,0.0,0.0,0.0,28.3,32.1,25.3,15.5,45.7
2019-04-05,0.0,0.0,0.0,0.0,28.8,32.4,26.6,16.2,42.1
2019-04-06,0.0,0.0,0.0,0.0,28.3,30.9,26.2,18.4,46.4
2019-04-07,0.0,0.0,0.0,0.0,28.5,31.3,26.3,16.2,40.3
2019-04-08,0.0,0.0,0.0,0.0,29.1,32.0,27.1,15.8,36.4
2019-04-09,3.6,3.2,3.4,3.6,29.3,32.3,27.4,15.5,40.0
2019-04-10,0.0,0.0,0.0,0.0,28.8,31.2,27.6,14.0,41.8
2019-04-11,0.2,0.2,0.2,0.2,27.9,29.5,26.4,12.6,33.1
